step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-low-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="2",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
62,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4530799395214567,0.038670267820161655,2.2192171039123054,0.3747127189383845
63,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4532078704676976,0.038670267820161655,2.2192171039123054,0.3747127189383845
64,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4533337552692312,0.038670267820161655,2.2192171039123054,0.3747127189383845
65,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4534576669933492,0.038670267820161655,2.2192171039123054,0.3747127189383845
66,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4535796741356832,0.038670267820161655,2.2192171039123054,0.3747127189383845
67,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4536998410970514,0.038670267820161655,2.2192171039123054,0.3747127189383845
68,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45381822858612536,0.038670267820161655,2.2192171039123054,0.3747127189383845
69,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4539348939622978,0.038670267820161655,2.2192171039123054,0.3747127189383845
70,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45404989153003944,0.038670267820161655,2.2192171039123054,0.3747127189383845
71,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4541632727936383,0.038670267820161655,2.2192171039123054,0.3747127189383845
72,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4542750866793541,0.038670267820161655,2.2192171039123054,0.3747127189383845
73,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45438537973058446,0.038670267820161655,2.2192171039123054,0.3747127189383845
74,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.7769057293562827,4.374103669900695,0.45395532820662554,0.038670267820161655,2.2282900665913745,0.3747127189383845
